,created_at,counts
0,2022-12-18 01:00:00,603
1,2022-12-18 01:01:00,286
2,2022-12-18 01:02:00,159
3,2022-12-18 01:03:00,98
4,2022-12-18 01:04:00,106
5,2022-12-18 01:05:00,96
6,2022-12-18 01:06:00,78
7,2022-12-18 01:07:00,67
8,2022-12-18 01:08:00,45
9,2022-12-18 01:09:00,45
10,2022-12-18 01:10:00,55
11,2022-12-18 01:11:00,63
12,2022-12-18 01:12:00,48
13,2022-12-18 01:13:00,52
14,2022-12-18 01:14:00,45
15,2022-12-18 01:15:00,44
16,2022-12-18 01:16:00,31
17,2022-12-18 01:17:00,24
18,2022-12-18 01:18:00,37
19,2022-12-18 01:19:00,40
20,2022-12-18 01:20:00,52
21,2022-12-18 01:21:00,42
22,2022-12-18 01:22:00,59
23,2022-12-18 01:23:00,41
24,2022-12-18 01:24:00,36
25,2022-12-18 01:25:00,57
26,2022-12-18 01:26:00,91
27,2022-12-18 01:27:00,66
28,2022-12-18 01:28:00,55
29,2022-12-18 01:29:00,50
30,2022-12-18 01:30:00,29
31,2022-12-18 01:31:00,28
32,2022-12-18 01:32:00,27
33,2022-12-18 01:33:00,63
34,2022-12-18 01:34:00,118
35,2022-12-18 01:35:00,106
36,2022-12-18 01:36:00,65
37,2022-12-18 01:37:00,32
38,2022-12-18 01:38:00,20
39,2022-12-18 01:39:00,26
40,2022-12-18 01:40:00,26
41,2022-12-18 01:41:00,27
42,2022-12-18 01:42:00,26
43,2022-12-18 01:43:00,26
44,2022-12-18 01:44:00,17
45,2022-12-18 01:45:00,7
46,2022-12-18 01:46:00,8
47,2022-12-18 01:47:00,4
48,2022-12-18 01:48:00,4
49,2022-12-18 01:49:00,25
50,2022-12-18 01:50:00,40
51,2022-12-18 01:51:00,25
52,2022-12-18 01:52:00,28
53,2022-12-18 01:53:00,48
54,2022-12-18 01:54:00,61
55,2022-12-18 01:55:00,54
56,2022-12-18 01:56:00,54
57,2022-12-18 01:57:00,57
58,2022-12-18 01:58:00,45
59,2022-12-18 01:59:00,40
60,2022-12-18 02:00:00,58
61,2022-12-18 02:01:00,59
62,2022-12-18 02:02:00,55
63,2022-12-18 02:03:00,33
64,2022-12-18 02:04:00,19
65,2022-12-18 02:05:00,27
66,2022-12-18 02:06:00,35
67,2022-12-18 02:07:00,23
68,2022-12-18 02:08:00,41
69,2022-12-18 02:09:00,57
70,2022-12-18 02:10:00,86
71,2022-12-18 02:11:00,69
72,2022-12-18 02:12:00,64
73,2022-12-18 02:13:00,66
74,2022-12-18 02:14:00,37
75,2022-12-18 02:15:00,24
76,2022-12-18 02:16:00,37
77,2022-12-18 02:17:00,77
78,2022-12-18 02:18:00,83
79,2022-12-18 02:19:00,55
80,2022-12-18 02:20:00,24
81,2022-12-18 02:21:00,20
82,2022-12-18 02:22:00,15
83,2022-12-18 02:23:00,15
84,2022-12-18 02:24:00,26
85,2022-12-18 02:25:00,28
86,2022-12-18 02:26:00,25
87,2022-12-18 02:27:00,28
88,2022-12-18 02:28:00,31
89,2022-12-18 02:29:00,44
90,2022-12-18 02:30:00,54
91,2022-12-18 02:31:00,44
92,2022-12-18 02:32:00,33
93,2022-12-18 02:33:00,27
94,2022-12-18 02:34:00,24
95,2022-12-18 02:35:00,41
96,2022-12-18 02:36:00,42
97,2022-12-18 02:37:00,38
98,2022-12-18 02:38:00,42
99,2022-12-18 02:39:00,55
100,2022-12-18 02:40:00,55
101,2022-12-18 02:41:00,35
102,2022-12-18 02:42:00,43
103,2022-12-18 02:43:00,26
104,2022-12-18 02:44:00,29
105,2022-12-18 02:45:00,87
106,2022-12-18 02:46:00,57
107,2022-12-18 02:47:00,54
108,2022-12-18 02:48:00,32
109,2022-12-18 02:49:00,23
110,2022-12-18 02:50:00,5
111,2022-12-18 02:51:00,5
112,2022-12-18 02:52:00,6
113,2022-12-18 02:53:00,34
114,2022-12-18 02:54:00,63
115,2022-12-18 02:55:00,49
116,2022-12-18 02:56:00,61
117,2022-12-18 02:57:00,61
118,2022-12-18 02:58:00,186
119,2022-12-18 02:59:00,144
120,2022-12-18 03:00:00,68
121,2022-12-18 03:01:00,30
122,2022-12-18 03:02:00,21
123,2022-12-18 03:03:00,10
124,2022-12-18 03:04:00,10
