,created_at,tweet
0,2022-01-20 15:00:00,7
1,2022-01-20 15:01:00,10
2,2022-01-20 15:02:00,10
3,2022-01-20 15:03:00,9
4,2022-01-20 15:04:00,15
5,2022-01-20 15:05:00,13
6,2022-01-20 15:06:00,9
7,2022-01-20 15:07:00,7
8,2022-01-20 15:08:00,13
9,2022-01-20 15:09:00,12
10,2022-01-20 15:10:00,14
11,2022-01-20 15:11:00,19
12,2022-01-20 15:12:00,17
13,2022-01-20 15:13:00,12
14,2022-01-20 15:14:00,11
15,2022-01-20 15:15:00,17
16,2022-01-20 15:16:00,10
17,2022-01-20 15:17:00,15
18,2022-01-20 15:18:00,17
19,2022-01-20 15:19:00,26
20,2022-01-20 15:20:00,25
21,2022-01-20 15:21:00,23
22,2022-01-20 15:22:00,18
23,2022-01-20 15:23:00,36
24,2022-01-20 15:24:00,48
25,2022-01-20 15:25:00,37
26,2022-01-20 15:26:00,16
27,2022-01-20 15:27:00,10
28,2022-01-20 15:28:00,13
29,2022-01-20 15:29:00,11
30,2022-01-20 15:30:00,7
